Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Cholesterol (mg)
,PROT,FAT,CHO,KCALS,STAR,TOTSUG,CHOL
,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Cholesterol
"Ackee, canned, drained",2.9,15.2,0.8,151,Tr,0.8,0.0
"Agar, dried",1.3,1.2,Tr,16,0.0,Tr,0.0
"Agar, dried, soaked and drained",0.2,0.1,Tr,2,0.0,Tr,0.0
"Alfalfa sprouts, raw",4.0,0.7,0.4,24,Tr,0.3,0.0
"Allspice, ground",6.1,8.7,N,N,N,N,0.0
"Almonds, flaked and ground",21.1,55.8,6.9,612,2.7,4.2,0.0
"Almonds, toasted",21.0,52.5,5.9,579,0.8,5.1,0.0
"Almonds, weighed with shells",7.8,18.5,1.9,205,0.3,1.6,0.0
"Almonds, whole kernels",21.2,49.9,5.3,554,0.8,4.5,0.0
"Amaranth leaves, boiled in unsalted water",3.0,0.3,0.3,16,0.1,0.2,0.0
"Amaranth leaves, raw",3.5,0.3,0.3,18,0.1,0.2,0.0
Amla,0.5,0.1,13.7,58,N,N,0.0
"Anchovies, canned in oil, drained",25.2,10.0,0.0,191,0.0,0.0,63.0
Anise seeds,17.6,15.9,N,N,N,N,0.0
"Apple juice concentrate, unsweetened, commerical",0.5,0.6,57.6,223,0.0,57.6,0.0
"Apple juice, clear, ambient and chilled",0.1,Tr,9.7,37,0.0,9.7,0.0
"Apple sauce, homemade",0.3,0.2,20.2,79,Tr,20.2,0.0
"Apples, cooking, baked with sugar, flesh only",0.2,0.4,17.1,69,Tr,17.1,0.0
"Apples, cooking, baked with sugar, flesh only, weighed with skin",0.2,0.3,14.3,57,Tr,14.3,0.0
"Apples, cooking, baked without sugar, flesh only",0.2,0.4,11.4,47,Tr,11.4,0.0
"Apples, cooking, baked without sugar, flesh only, weighed with skin",0.2,0.3,9.6,40,Tr,9.6,0.0
"Apples, cooking, raw, flesh only, peeled",0.3,0.3,8.9,37,Tr,8.9,0.0
"Apples, cooking, raw, flesh only, weighed with skin and core",0.2,0.2,6.5,27,Tr,6.4,0.0
"Apples, cooking, stewed with sugar, flesh only",0.2,0.3,20.8,81,Tr,20.8,0.0
"Apples, cooking, stewed without sugar, flesh only",0.2,0.3,9.7,40,Tr,9.7,0.0
"Apples, eating, dried",2.0,0.5,60.1,238,Tr,60.1,0.0
"Apples, eating, raw, flesh and skin",0.6,0.5,11.6,51,Tr,11.6,0.0
"Apples, eating, raw, flesh and skin, weighed with core",0.5,0.4,10.0,43,Tr,10.0,0.0
"Apricots, dried",4.8,0.7,43.4,188,0.0,43.4,0.0
"Apricots, dried, stewed with sugar",1.9,0.3,22.0,92,0.0,22.0,0.0
"Apricots, dried, stewed without sugar",2.0,0.3,17.8,77,0.0,17.8,0.0
"Apricots, raw, flesh and skin",0.9,0.1,7.2,31,0.0,7.2,0.0
"Apricots, raw, flesh and skin, weighed with stones",0.8,0.1,6.6,29,0.0,6.6,0.0
"Apricots, ready-to-eat, semi-dried",2.2,0.5,39.4,161,0.0,39.4,0.0
"Apricots, stewed with sugar",0.7,0.1,18.3,72,0.0,18.3,0.0
"Apricots, stewed with sugar, weighed with stones",0.6,0.1,17.1,67,0.0,17.1,0.0
"Apricots, stewed without sugar",0.7,0.1,6.2,27,0.0,6.2,0.0
"Apricots, stewed without sugar, weighed with stones",0.7,0.1,5.8,25,0.0,5.8,0.0
"Arrowhead, boiled in unsalted water",4.2,0.3,17.8,91,N,N,0.0
"Arrowhead, raw",5.0,0.3,21.5,107,N,N,0.0
Arrowroot,0.4,0.1,94.0,355,94.0,Tr,
"Artichoke, globe, base of leaves and heart, boiled in unsalted water",2.9,0.2,2.7,18,Tr,1.3,0.0
"Artichoke, globe, boiled, weighed as served",1.2,0.1,1.2,8,Tr,0.6,0.0
"Artichoke, globe, raw",2.8,0.2,2.7,18,Tr,1.3,0.0
"Artichoke, Jerusalem, boiled in unsalted water, flesh only",1.6,0.1,10.6,41,Tr,1.6,0.0
Asafoetida,4.0,1.1,N,N,N,N,0.0
"Asparagus, grilled",3.5,0.4,2.0,25,Tr,2.0,0.0
"Asparagus, raw",2.9,0.6,2.0,25,0.1,1.9,0.0
"Asparagus, roasted in rapeseed oil",3.5,1.5,2.0,35,Tr,2.0,0.0
"Asparagus, steamed",2.9,0.4,1.6,21,Tr,1.6,0.0
"Aubergine, flesh and skin, boiled in unsalted water",0.7,0.5,1.8,14,0.2,1.6,0.0
"Aubergine, flesh and skin, roasted in rapeseed oil",2.1,3.8,5.2,62,0.6,4.6,0.0
"Aubergine, fried in butter",1.2,31.9,2.8,302,0.2,2.6,73.0
"Aubergine, fried in corn oil",1.2,31.9,2.8,302,0.2,2.6,0.0
"Aubergine, fried in rapeseed oil",1.2,31.9,2.8,302,0.2,2.6,0.0
"Aubergine, raw",0.9,0.4,2.2,15,0.2,2.0,0.0
"Aubergine, stuffed with lentils and vegetables",2.0,4.6,3.9,64,2.1,1.7,0.0
"Aubergine, stuffed with rice",1.9,2.1,15.9,86,9.8,6.0,0.0
"Aubergine, stuffed with vegetables, cheese topping",5.0,9.7,3.6,119,0.2,3.2,13.9
"Avocado, Fuerte, flesh only",2.1,19.3,1.9,189,Tr,0.5,0.0
"Avocado, Fuerte, flesh only, weighed with skin and stone",1.5,13.7,1.3,134,Tr,0.4,0.0
"Avocado, Hass, flesh only",1.8,17.4,1.8,171,Tr,0.4,0.0
"Avocado, Hass, flesh only, weighed with skin and stone",1.3,12.0,1.3,118,Tr,0.3,0.0
"Ayr, raw",15.9,1.3,0.0,75,0.0,0.0,N
"Babaco, flesh only",1.1,0.1,3.1,17,0.0,3.1,0.0
"Bacha, raw",18.1,5.6,0.0,123,0.0,0.0,N
"Bacon loin steaks, lean, grilled",28.9,4.3,1.1,158,0.0,1.1,31.0
"Bacon rashers, back, dry-cured, grilled",28.4,15.9,0.0,257,0.0,0.0,57.0
"Bacon rashers, back, dry-fried",24.2,22.0,0.0,295,0.0,0.0,65.0
"Bacon rashers, back, fat trimmed, grilled",25.7,12.3,0.0,214,0.0,0.0,44.0
"Bacon rashers, back, fat trimmed, raw",18.8,6.7,0.0,136,0.0,0.0,31.0
"Bacon rashers, back, grilled",23.2,21.6,0.0,287,0.0,0.0,75.0
"Bacon rashers, back, grilled crispy",36.0,18.8,0.0,313,0.0,0.0,68.0
"Bacon rashers, back, microwaved",24.2,23.3,0.0,307,0.0,0.0,84.0
"Bacon rashers, back, raw",16.5,16.5,0.0,215,0.0,0.0,53.0
"Bacon rashers, back, reduced salt, grilled",24.1,20.6,0.0,282,0.0,0.0,74.0
"Bacon rashers, back, smoked, grilled",23.4,22.1,0.0,293,0.0,0.0,80.0
"Bacon rashers, back, sweetcure, grilled",23.8,17.4,1.6,258,0.0,1.6,63.0
"Bacon rashers, back, 'tendersweet', grilled",26.4,11.9,Tr,213,0.0,Tr,43.0
"Bacon rashers, middle, fried in corn oil",23.4,28.5,0.0,350,0.0,0.0,84.0
"Bacon rashers, middle, grilled",24.8,23.1,0.0,307,0.0,0.0,83.0
"Bacon rashers, middle, raw",15.2,20.0,0.0,241,0.0,0.0,58.0
"Bacon rashers, streaky, fried in corn oil",23.8,26.6,0.0,335,0.0,0.0,78.0
"Bacon rashers, streaky, grilled",23.8,26.9,0.0,337,0.0,0.0,90.0
"Bacon rashers, streaky, raw",15.8,23.6,0.0,276,0.0,0.0,65.0
"Bacon, fat only, average, cooked",9.3,72.8,0.0,692,0.0,0.0,270.0
"Bacon, fat only, average, raw",4.8,80.9,0.0,747,0.0,0.0,198.0
"Bagels, plain",10.0,1.8,57.8,273,51.3,4.8,0.0
"Baked beans, canned in barbecue sauce",5.3,0.4,14.0,77,9.2,4.8,0.0
"Baked beans, canned in tomato sauce",5.0,0.5,15.0,81,10.2,4.8,0.0
"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",   5.0,0.5,  13.5,  75,10.2,   3.3,0.0
"Baked beans, canned in tomato sauce, with pork sausages",6.0,4.5,11.0,98,7.0,4.0,N
"Baking fat and margarine (75-90% fat), hard block",Tr,76.4,0.0,688,0.0,0.0,15.0
Baking powder,5.2,0.0,37.8,163,37.8,0.0,0.0
"Banana bread, homemade",4.4,12.4,53.9,331,17.4,36.3,30.8
"Banana split, homemade",2.3,11.8,23.9,205,0.9,18.4,24.4
"Bananas, flesh only",1.2,0.1,20.3,81,2.2,18.1,0.0
"Bananas, raw, flesh only, weighed with skin",0.8,Tr,12.8,51,1.4,11.4,0.0
"Bannocks, made with beremeal, homemade",9.3,1.7,56.8,266,53.7,3.1,0.8
"Bannocks, made with wheat flour, homemade",8.5,1.3,65.5,292,63.1,2.4,0.8
Barbecue sauce,1.0,0.1,  36.1,140,6.2,  29.9,0.0
"Barbecue sauce, homemade",2.7,21.0,26.1,300,0.1,21.5,50.7
"Barcelona nuts, Kernel only",10.9,64.0,5.2,639,1.8,3.4,0.0
"Barcelona nuts, kernel only, weighed with shells",6.8,39.7,3.2,397,1.1,2.1,0.0
"Barley water, diluted",0.1,Tr,4.7,18,0.4,4.3,0.0
"Barley water, undiluted",0.3,Tr,23.7,90,2.2,21.5,0.0
"Barley, pearl, boiled",2.7,0.6,27.6,120,27.6,Tr,
"Barley, pearl, raw",7.9,1.7,83.6,360,83.6,Tr,
"Basil, dried, ground",14.4,4.0,43.2,251,Tr,N,0.0
"Basil, fresh",3.1,0.8,5.1,40,Tr,N,0.0
"Bass, sea, flesh only, baked",23.2,6.8,0.0,154,0.0,0.0,49.0
"Bass, sea, flesh only, baked, weighed with bones and skin",20.6,6.1,0.0,137,0.0,0.0,43.6
"Bass, sea, flesh only, raw",20.0,9.8,0.0,168,0.0,0.0,71.0
"Bass, sea, flesh only, raw, weighed with bones and skin",17.2,8.4,0.0,144,0.0,0.0,61.0
"Bay leaf, dried",7.6,8.4,48.6,313,Tr,N,0.0
"Bean loaf, mixed beans, homemade",6.6,7.2,15.1,148,10.5,3.6,0.0
"Beanburger, aduki, fried in rapeseed oil, homemade",8.1,7.3,24.1,190,21.4,2.3,30.6
"Beanburger, butter bean, fried in rapeseed oil, homemade",5.7,10.6,20.2,194,16.2,3.0,0.0
"Beanburger, red kidney bean, fried in rapeseed oil",6.2,10.7,21.7,202,17.7,2.6,0.0
"Beanburger, soya, fried in rapeseed oil",10.5,10.7,14.5,193,9.9,3.7,29.2
"Beans, aduki, whole, dried, boiled in unsalted water",9.3,0.2,22.5,123,20.8,0.5,0.0
"Beans, aduki, whole, dried, raw",19.9,0.5,50.1,272,44.7,1.0,0.0
"Beans, balor, ends trimmed, raw",2.7,0.1,3.0,23,0.6,2.4,0.0
"Beans, blackeye, whole, dried, boiled in unsalted water",8.8,0.7,19.9,116,18.0,1.1,0.0
"Beans, blackeye, whole, dried, raw",23.5,1.6,54.1,311,47.5,2.9,0.0
"Beans, broad, dried, raw",26.1,2.1,32.5,245,24.4,5.9,0.0
"Beans, broad, whole, boiled in unsalted water",9.0,1.0,12.3,91,11.2,1.1,0.0
"Beans, broad, whole, raw",5.7,1.0,7.2,59,5.4,1.3,0.0
"Beans, butter, canned, re-heated, drained",5.9,0.5,13.0,77,10.9,1.1,0.0
"Beans, butter, dried, boiled in unsalted water",8.1,1.1,16.8,105,15.4,1.4,0.0
"Beans, butter, dried, raw",19.1,1.7,52.9,290,46.2,3.6,0.0
"Beans, cannellini, canned, re-heated, drained",7.6,1.6,15.9,104,15.2,0.7,0.0
"Beans, chick peas, canned, re-heated, drained",8.4,3.0,18.3,129,17.6,0.7,0.0
"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",7.7,2.0,17.4,114,15.9,1.0,0.0
"Beans, chick peas, Kabuli, split, dried, raw",22.7,5.4,49.6,325,43.8,2.6,0.0
"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",8.4,3.0,18.3,129,17.6,0.7,0.0
"Beans, chick peas, Kabuli, whole, dried, raw",21.3,5.4,49.6,320,43.8,2.6,0.0
"Beans, cluster, raw",2.6,0.1,3.0,23,0.1,2.9,0.0
"Beans, edamame, frozen, boiled in unsalted water",12.2,7.6,6.5,142,3.9,2.6,0.0
"Beans, green, boiled in unsalted water",2.1,0.3,4.0,26,0.9,3.0,0.0
"Beans, green, raw",2.1,0.4,3.1,24,1.0,2.2,0.0
"Beans, haricot, canned, re-heated, drained",7.1,1.0,15.6,96,15.0,0.6,0.0
"Beans, haricot, whole, dried, boiled in unsalted water",6.6,0.5,17.2,95,15.8,0.8,0.0
"Beans, haricot, whole, dried, raw",21.4,1.6,49.7,286,42.7,2.8,0.0
"Beans, mung, dahl, dried, boiled in unsalted water",7.8,0.4,15.3,92,14.1,0.5,0.0
"Beans, mung, dahl, dried, raw",26.8,1.1,46.3,291,40.9,1.5,0.0
"Beans, mung, whole, dried, boiled in unsalted water",8.6,0.7,15.8,100,15.4,0.4,0.0
"Beans, mung, whole, dried, raw",23.9,1.1,46.3,279,40.9,1.5,0.0
"Beans, papri, raw",5.4,0.3,4.2,40,2.4,1.8,0.0
"Beans, pigeon peas, dahl, dried, boiled in unsalted water",8.7,0.5,21.2,118,20.3,0.6,0.0
"Beans, pigeon peas, dahl, dried, raw",21.8,1.9,58.6,324,54.8,1.7,0.0
"Beans, pigeon peas, whole, dried, boiled in unsalted water",8.5,0.5,21.2,117,20.3,0.6,0.0
"Beans, pigeon peas, whole, dried, raw",20.0,1.9,58.6,317,54.8,1.7,0.0
"Beans, pinto, dried, boiled in unsalted water",8.9,0.7,23.9,137,N,N,0.0
"Beans, pinto, dried, raw",21.1,1.6,57.1,327,N,N,0.0
"Beans, pinto, re-fried beans",6.2,1.1,15.3,107,N,N,0.0
"Beans, red kidney, canned in water, re-heated, drained",8.6,1.0,15.1,100,14.3,0.8,0.0
"Beans, red kidney, dried, boiled in unsalted water",8.6,1.0,15.1,100,14.3,0.8,0.0
"Beans, red kidney, dried, raw",22.1,1.4,44.1,266,38.0,2.5,0.0
"Beans, runner, boiled in unsalted water",1.1,0.5,1.9,16,0.3,1.6,0.0
"Beans, runner, raw",1.6,0.4,3.2,22,0.4,2.8,0.0
"Beans, soya, dried, boiled in unsalted water",14.0,7.3,5.1,141,1.9,2.1,0.0
"Beans, soya, dried, raw",35.9,18.6,15.8,370,4.8,5.5,0.0
"Beans, sword, raw",2.5,0.3,7.2,41,N,N,0.0
"Beansprouts, mung, boiled in unsalted water",2.5,0.5,2.8,25,1.4,1.4,0.0
"Beansprouts, mung, raw",2.9,0.5,4.0,31,1.8,2.2,0.0
"Beansprouts, mung, stir-fried in rapeseed oil",1.9,6.1,2.5,72,1.1,1.4,0.0
"Beef bourguignon, homemade",13.8,6.2,2.5,140,1.4,0.9,41.9
"Beef bourguignonne, made with lean beef, homemade",14.1,4.2,2.5,105,1.4,0.8,40.1
Beef extract,40.4,0.6,3.2,179,2.8,0.4,N
"Beef olives, homemade",13.9,11.0,1.6,159,1.2,0.3,34.6
"Beef steak pudding, homemade",11.5,10.2,18.7,207,18.4,0.8,34.1
"Beef Stroganoff, homemade",15.3,11.2,2.5,171,Tr,2.1,60.9
"Beef Wellington, homemade",16.3,25.5,16.2,356,15.4,0.7,54.0
"Beef, braising steak, braised, lean and fat",32.9,12.7,0.0,246,0.0,0.0,100.0
"Beef, braising steak, braised, lean only",34.4,9.7,0.0,225,0.0,0.0,100.0
"Beef, braising steak, raw, lean",21.8,5.7,0.0,139,0.0,0.0,63.0
"Beef, braising steak, raw, lean and fat",20.7,8.6,0.0,160,0.0,0.0,62.0
"Beef, braising steak, slow cooked, lean",31.4,7.9,0.0,197,0.0,0.0,90.0
"Beef, braising steak, slow cooked, lean and fat",29.0,11.2,0.0,217,0.0,0.0,87.0
"Beef, brisket, boiled, lean",31.4,11.0,0.0,225,0.0,0.0,77.0
"Beef, brisket, boiled, lean and fat",27.8,17.4,0.0,268,0.0,0.0,76.0
"Beef, brisket, raw, lean",21.1,6.1,0.0,139,0.0,0.0,54.0
"Beef, brisket, raw, lean and fat",18.4,16.0,0.0,218,0.0,0.0,53.0
"Beef, fat, average, cooked",15.5,52.3,0.0,533,0.0,0.0,97.0
"Beef, fat, average, raw",18.9,53.6,0.0,558,0.0,0.0,72.0
"Beef, fat, average, raw, extra trimmed",6.8,72.2,0.0,677,0.0,0.0,N
"Beef, fillet steak, fried in corn oil, lean",28.2,7.9,0.0,184,0.0,0.0,81.0
"Beef, fillet steak, fried in corn oil, lean and fat",28.0,8.9,0.0,192,0.0,0.0,83.0
"Beef, fillet steak, from steakhouse, lean",28.7,7.0,0.0,178,0.0,0.0,79.0
"Beef, fillet steak, from steakhouse, lean and fat",28.5,7.8,0.0,184,0.0,0.0,81.0
"Beef, fillet steak, grilled, lean",29.1,8.0,0.0,188,0.0,0.0,71.0
"Beef, fillet steak, grilled, lean and fat",28.7,9.5,0.0,200,0.0,0.0,72.0
"Beef, fillet steak, raw, lean",21.2,6.1,0.0,140,0.0,0.0,61.0
"Beef, fillet steak, raw, lean and fat",20.9,7.9,0.0,155,0.0,0.0,65.0
"Beef, flank, pot-roasted, lean",31.8,14.0,0.0,253,0.0,0.0,91.0
"Beef, flank, pot-roasted, lean and fat",27.1,22.3,0.0,309,0.0,0.0,88.0
"Beef, flank, raw, lean",22.7,9.3,0.0,175,0.0,0.0,58.0
"Beef, flank, raw, lean and fat",19.7,20.8,0.0,266,0.0,0.0,60.0
"Beef, fore-rib/rib-roast, microwaved, lean",35.0,11.4,0.0,243,0.0,0.0,85.0
"Beef, fore-rib/rib-roast, microwaved, lean and fat",30.4,20.5,0.0,306,0.0,0.0,87.0
"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",25.2,17.0,0.0,254,0.0,0.0,72.0
"Beef, fore-rib/rib-roast, raw, lean",21.5,6.5,0.0,145,0.0,0.0,56.0
"Beef, fore-rib/rib-roast, raw, lean and fat",18.8,19.8,0.0,253,0.0,0.0,59.0
"Beef, fore-rib/rib-roast, roasted, lean",33.3,11.4,0.0,236,0.0,0.0,81.0
"Beef, fore-rib/rib-roast, roasted, lean and fat",29.1,20.4,0.0,300,0.0,0.0,83.0
"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",24.4,17.1,0.0,252,0.0,0.0,70.0
"Beef, lean, average, raw",22.5,4.3,0.0,129,0.0,0.0,58.0
"Beef, lean, average, raw, extra trimmed",21.6,5.1,0.0,132,0.0,0.0,N
"Beef, mince patties, barbecued",29.6,16.2,0.0,264,0.0,0.0,90.0
"Beef, mince, extra lean, stewed",24.7,4.2,0.0,137,0.0,0.0,36.2
"Beef, mince, frozen, stewed",19.3,14.1,0.0,204,0.0,0.0,58.0
"Beef, mince, microwaved",26.4,17.5,0.0,263,0.0,0.0,80.0
"Beef, mince, raw",19.7,16.2,0.0,225,0.0,0.0,60.0
"Beef, mince, raw, extra lean",21.9,4.2,0.0,130,0.0,0.0,37.0
"Beef, mince, stewed",10.9,9.9,2.5,139,1.6,0.6,31.5
"Beef, mince, stewed",21.8,13.5,0.0,209,0.0,0.0,79.0
"Beef, mince, with vegetables, stewed",9.2,7.2,5.7,122,3.0,2.3,25.5
"Beef, minced, stewed with onions, extra lean",12.1,3.6,2.5,113,1.6,0.6,19.4
"Beef, rump steak, barbecued, lean",31.2,5.7,0.0,176,0.0,0.0,76.0
"Beef, rump steak, barbecued, lean and fat",29.5,9.4,0.0,203,0.0,0.0,76.0
"Beef, rump steak, fried in corn oil, lean and fat",28.4,12.7,0.0,228,0.0,0.0,84.0
"Beef, rump steak, fried in corn oil, lean only",30.9,6.6,0.0,183,0.0,0.0,86.0
"Beef, rump steak, from steakhouse, lean and fat",27.5,11.4,0.0,213,0.0,0.0,74.0
"Beef, rump steak, from steakhouse, lean only",29.8,4.7,0.0,162,0.0,0.0,73.0
"Beef, rump steak, grilled, lean only",31.0,5.9,0.0,177,0.0,0.0,76.0
"Beef, rump steak, raw, lean",22.0,4.1,0.0,125,0.0,0.0,59.0
"Beef, rump steak, raw, lean and fat",20.7,10.1,0.0,174,0.0,0.0,60.0
"Beef, rump steak, strips, stir-fried in corn oil, lean",32.3,8.8,0.0,208,0.0,0.0,92.0
"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",29.7,14.4,0.0,248,0.0,0.0,91.0
"Beef, silverside, pot-roasted, lean",34.0,6.3,0.0,193,0.0,0.0,93.0
"Beef, silverside, pot-roasted, lean and fat",31.0,13.7,0.0,247,0.0,0.0,92.0
"Beef, silverside, raw, lean",23.8,4.3,0.0,134,0.0,0.0,61.0
"Beef, silverside, raw, lean and fat",20.4,14.8,0.0,215,0.0,0.0,57.0
"Beef, silverside, salted, boiled, lean",30.4,6.9,0.0,184,0.0,0.0,74.0
"Beef, silverside, salted, boiled, lean and fat",27.9,12.5,0.0,224,0.0,0.0,73.0
"Beef, silverside, salted, raw, lean",19.2,7.0,0.0,140,0.0,0.0,49.0
"Beef, silverside, salted, raw, lean and fat",16.3,18.0,0.0,227,0.0,0.0,45.0
"Beef, sirloin joint, roasted, lean",32.4,6.5,0.0,188,0.0,0.0,79.0
"Beef, sirloin joint, roasted, lean and fat",29.8,12.6,0.0,233,0.0,0.0,85.0
"Beef, sirloin steak, fried in corn oil, lean",28.8,8.2,0.0,189,0.0,0.0,82.0
"Beef, sirloin steak, fried in corn oil, lean and fat",26.8,14.0,0.0,233,0.0,0.0,89.0
"Beef, sirloin steak, from steakhouse, lean",31.5,5.1,0.0,172,0.0,0.0,77.0
"Beef, sirloin steak, from steakhouse, lean and fat",29.6,10.7,0.0,215,0.0,0.0,83.0
"Beef, sirloin steak, grilled medium-rare, lean",26.6,7.7,0.0,176,0.0,0.0,67.0
"Beef, sirloin steak, grilled medium-rare, lean and fat",24.8,12.6,0.0,213,0.0,0.0,70.0
"Beef, sirloin steak, grilled rare, lean",26.4,6.7,0.0,166,0.0,0.0,64.0
"Beef, sirloin steak, grilled rare, lean and fat",25.1,12.8,0.0,216,0.0,0.0,74.0
"Beef, sirloin steak, grilled well-done, lean",33.9,9.9,0.0,225,0.0,0.0,83.0
"Beef, sirloin steak, grilled well-done, lean and fat",31.8,14.4,0.0,257,0.0,0.0,87.0
"Beef, sirloin steak, raw, lean",23.5,4.5,0.0,135,0.0,0.0,51.0
"Beef, sirloin steak, raw, lean and fat",21.6,12.7,0.0,201,0.0,0.0,57.0
"Beef, stewing steak, frozen, stewed, lean",29.7,8.5,0.0,195,0.0,0.0,85.0
"Beef, stewing steak, frozen, stewed, lean and fat",26.9,11.6,0.0,212,0.0,0.0,82.0
"Beef, stewing steak, pressure cooked, lean",35.1,6.5,0.0,199,0.0,0.0,100.0
"Beef, stewing steak, pressure cooked, lean and fat",34.0,9.0,0.0,217,0.0,0.0,105.0
"Beef, stewing steak, raw, lean",22.6,3.5,0.0,122,0.0,0.0,67.0
"Beef, stewing steak, raw, lean and fat",22.1,6.4,0.0,146,0.0,0.0,69.0
"Beef, stewing steak, stewed, lean",32.0,6.3,0.0,185,0.0,0.0,91.0
"Beef, stewing steak, stewed, lean and fat",29.2,9.6,0.0,203,0.0,0.0,91.0
"Beef, stir-fried with green peppers, homemade",11.8,8.0,6.1,145,2.2,3.8,32.5
"Beef, topside, microwaved, lean",35.0,4.6,0.0,181,0.0,0.0,85.0
"Beef, topside, microwaved, lean and fat",32.1,11.1,0.0,228,0.0,0.0,82.0
"Beef, topside, raw, lean",23.0,2.7,0.0,116,0.0,0.0,50.0
"Beef, topside, raw, lean and fat",20.4,12.9,0.0,198,0.0,0.0,48.0
"Beef, topside, roasted medium-rare, lean",32.2,5.1,0.0,175,0.0,0.0,68.0
"Beef, topside, roasted medium-rare, lean and fat",29.9,11.4,0.0,222,0.0,0.0,71.0
"Beef, topside, roasted well-done, lean",36.2,6.3,0.0,202,0.0,0.0,88.0
"Beef, topside, roasted well-done, lean and fat",32.8,12.5,0.0,244,0.0,0.0,83.0
"Beer, bitter, average (<4% ABV)",0.3,Tr,2.2,30,0.0,2.2,0.0
"Beer, bitter, best, premium",0.3,Tr,2.2,33,0.0,2.2,0.0
"Beer, bitter, strong (>5% ABV)",0.3,Tr,2.2,42,0.0,2.2,0.0
"Beetroot, cooked in unsalted water",1.6,0.3,11.6,53,0.7,10.9,0.0
"Beetroot, pickled, drained",1.2,0.2,5.6,28,Tr,5.6,0.0
"Beetroot, raw",1.7,0.1,7.6,36,0.6,7.0,0.0
"Bele, raw",15.3,0.7,0.0,67,0.0,0.0,N
"Betel leaves, fresh",6.4,0.1,8.6,61,Tr,N,0.0
Betel nuts,5.2,10.2,56.7,339,N,N,0.0
"Bhaji, aubergine and potato, homemade",1.8,8.8,13.4,135,9.5,3.2,0.0
"Bhaji, aubergine, pea, potato and cauliflower, homemade",2.9,2.5,10.7,72,6.1,4.3,0.0
"Bhaji, cabbage and pea, with butter ghee, homemade",3.4,14.2,9.7,177,1.7,7.1,34.5
"Bhaji, cabbage and pea, with rapeseed oil, homemade",3.4,14.5,9.7,180,1.7,7.1,0.0
"Bhaji, cabbage and potato, with butter, homemade",2.7,5.6,9.7,98,4.4,4.9,14.1
"Bhaji, cabbage and potato, with rapeseed oil, homemade",2.2,7.0,9.1,106,4.0,4.7,0.0
"Bhaji, cabbage and potato, with vegetable oil",2.7,6.8,9.6,108,4.4,4.9,0.0
"Bhaji, cabbage and spinach",3.6,17.1,7.8,198,3.3,3.8,0.0
"Bhaji, cabbage, homemade",2.8,4.5,6.8,77,0.4,5.9,0.0
"Bhaji, carrot, potato and pea, with butter, homemade",2.2,6.6,12.9,116,5.6,6.8,16.0
"Bhaji, carrot, potato and pea, with vegetable oil, homemade",2.1,7.9,12.9,128,5.6,6.7,0.0
"Bhaji, cauliflower and potato, homemade",3.3,6.8,10.1,106,6.1,2.8,0.0
"Bhaji, cauliflower and vegetable, homemade",3.1,9.1,6.6,117,0.4,4.0,21.2
"Bhaji, cauliflower, homemade",2.9,20.1,5.5,211,0.2,3.8,0.0
"Bhaji, cauliflower, potato and pea, with butter",3.5,11.3,8.2,145,5.5,2.5,29.0
"Bhaji, cauliflower, potato and pea, with vegetable oil",3.4,13.7,8.2,166,5.5,2.5,0.0
"Bhaji, green bean",2.2,7.6,5.0,91,0.9,4.1,0.0
"Bhaji, karela, with butter ghee, homemade",1.8,10.6,1.2,103,0.9,Tr,27.0
"Bhaji, karela, with vegetable oil, homemade",1.8,10.6,1.2,103,0.9,Tr,0.0
"Bhaji, mushroom, homemade",1.2,16.6,4.1,168,0.1,3.2,0.0
"Bhaji, mustard leaves and spinach, homemade",3.1,6.5,3.8,84,2.0,1.6,15.2
"Bhaji, mustard leaves, homemade",3.0,6.3,4.6,85,3.1,1.3,15.2
"Bhaji, okra, Bangladeshi, with butter ghee, homemade",2.4,6.2,7.7,97,0.4,5.6,14.0
"Bhaji, okra, Bangladeshi, with vegetable oil, homemade",2.4,6.4,7.7,97,0.4,5.6,0.0
"Bhaji, okra, Islami, homemade",4.6,17.1,8.9,201,0.6,7.0,0.0
"Bhaji, pea, homemade",5.0,34.6,9.3,363,4.3,3.2,86.8
"Bhaji, potato and fenugreek leaves, homemade",3.7,15.9,18.8,222,N,N,0.0
"Bhaji, potato and green pepper, homemade",1.5,9.0,12.7,134,9.8,2.6,0.0
"Bhaji, potato and onion, homemade",2.1,10.1,16.7,162,12.2,3.4,25.8
"Bhaji, potato, onion and mushroom, homemade",1.7,17.3,12.1,211,7.3,3.5,0.0
"Bhaji, potato, spinach and cauliflower, homemade",2.2,15.1,7.1,169,5.2,1.6,40.0
"Bhaji, potato, with butter ghee, homemade",2.2,9.8,16.6,161,14.7,1.5,23.8
"Bhaji, potato, with vegetable oil, homemade",2.2,10.0,16.6,161,14.7,1.5,0.0
